"InfHuman_values","S_v_loop","E_v_loop","I_v_loop","V_loop","Prev_loop","Pos_loop"
0.75,140336.024439137,35875.3757323984,31794.2680059454,208005.668177481,0.15285289234915,0.325325960255106
0.76,139889.558000678,36239.3885423638,32117.9017599335,208246.848302976,0.15422995364235,0.328251259787832
0.77,139446.376807241,36601.2401445254,32439.6357122295,208487.252663996,0.155595295624669,0.331151545116397
0.78,139008.516828809,36961.5051070308,32759.9788225689,208730.000758409,0.15694906675388,0.334027133982995
0.79,138568.017218591,37318.0935801734,33077.0784978771,208963.189296642,0.158291412995813,0.336878338787787
0.8,138133.00217298,37673.1937522727,33392.8738939531,209199.069819206,0.159622477876273,0.339705466700415
0.81,137702.506434882,38026.5948649771,33707.1779616816,209436.279261541,0.160942402531839,0.342508819768893
0.82,137274.951055217,38377.9013993153,34019.6398519837,209672.492306516,0.162251325759275,0.34528869502568
0.83,136845.568295513,38725.7938569679,34329.0895985944,209900.451751076,0.163549384063765,0.348045384591165
0.84,136422.323305145,39072.5343408296,34637.5321582441,210132.389804219,0.164836711705968,0.350779175774614
0.85,135998.723297882,39416.3035918873,34943.3545273548,210358.381417125,0.166113440747886,0.353490351172614
0.86,135582.997001712,39759.5106024122,35248.6920522856,210591.19965641,0.167379701097651,0.35617918876514
0.87,135161.644761899,40098.2308128211,35550.0651775421,210809.940752263,0.168635620553204,0.358845962009272
0.88,134752.036931465,40437.6187326919,35852.0434416077,211041.699105765,0.169881324844908,0.361490939930627
0.89,134336.016395689,40772.2836053401,36149.8472101225,211258.147211151,0.171116937677158,0.364114387212624
0.9,133928.394386685,41106.7052357079,36447.4480541732,211482.547676567,0.172342580768956,0.366716564283543
0.91,133519.448079832,41437.9519201967,36742.2463794657,211699.646379495,0.173558373893555,0.369297727401565
0.92,133118.163853756,41768.8293503343,37036.7296743893,211923.72287848,0.174764434917117,0.371858128737725
0.93,132714.378501241,42096.1920692751,37328.1086414998,212138.679212016,0.175960879836502,0.374398016456945
0.94,132336.820131172,42429.2246935271,37624.5274683803,212390.57229308,0.17714782281608,0.376917634797087
0.95,131917.544487917,42746.1796018585,37906.7010343224,212570.425124098,0.178325376223868,0.379417224146284
0.96,131527.600913857,43069.8939205125,38194.8802352246,212792.375069594,0.179493650666444,0.381897021118164
0.97,131132.08203948,43389.118206026,38479.0890891038,213000.28933461,0.180652755023518,0.384357258625691
0.98,130738.634477543,43706.3511406426,38761.5431599476,213206.528778133,0.181802796481357,0.386798165953013
0.99,130351.35424075,44022.9969544095,39043.4876135771,213417.838808736,0.182943880565521,0.389219968825709
1,129966.098262199,44337.7052110241,39323.7246088275,213627.528082051,0.184076111172919,0.39162288947948
